"idGrupo";"uriGrupo";"nomeGrupo";"membro_idlegislatura";"membro_ordem_entrada";"membro_datainicio";"membro_datafim";"membro_nome";"membro_tipo";"membro_uri";"membro_cargo"
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"5";"2023-02-02T00:00:00";"";"CELSO RUSSOMANNO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/73441";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"0";"2023-02-02T00:00:00";"";"JULIO CESAR RIBEIRO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"Presidente"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"1";"2023-02-02T00:00:00";"";"MÁRCIO MARINHO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"1º Vice-Presidente"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"2";"2023-05-31T00:00:00";"";"RODRIGO VALADARES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/165470";"2º Vice-Presidente"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"15";"2024-11-12T00:00:00";"";"MARIA ROSAS";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204540";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"10";"2024-06-20T00:00:00";"";"HEITOR SCHUCH";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178964";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"5";"2023-05-31T00:00:00";"";"DAVID SOARES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"8";"2023-05-31T00:00:00";"";"GILBERTO ABRAMO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204491";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"17";"2023-05-31T00:00:00";"";"ROGÉRIA SANTOS";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220695";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"7";"2023-05-31T00:00:00";"";"FRED LINHARES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220534";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"16";"2023-05-31T00:00:00";"";"MILTON VIEIRA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/154178";""
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"3";"2023-05-31T00:00:00";"";"BETO PEREIRA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204358";""
