"uri";"sigla";"apelido";"nome";"nomePublicacao";"codTipoOrgao";"tipoOrgao";"dataInicio";"dataInstalacao";"dataFim";"dataFimOriginal";"codSituacao";"descricaoSituacao";"casa";"sala";"urlWebsite"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/525288";"CPINARCO";"CPI - NARCOTRÁFICO";"Comissão Parlamentar de Inquérito destinada a investigar o avanço e a impunidade do narcotráfico.";"CPI - NARCOTRÁFICO";"4";"Comissão Parlamentar de Inquérito";"1999-03-15T00:00:00";"1999-04-13T00:00:00";"2000-12-05T00:00:00";"";"";"";"Câmara dos Deputados";"Serv. de Com. Parlam. de Inq., Anexo II, S/ 139-B";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/525289";"CPIBORRA";"CPI - CRISE NO SETOR PRODUTIVO DA BORRACHA";"Comissão Parlamentar de Inquérito destinada a investigar a crise no setor produtivo de borracha natural e os reflexos da política governamental no setor.";"CPI - CRISE NO SETOR PRODUTIVO DA BORRACHA";"4";"Comissão Parlamentar de Inquérito";"1999-03-15T00:00:00";"1999-05-25T00:00:00";"1999-12-15T00:00:00";"";"";"";"Câmara dos Deputados";"Serviço de CPI, Anexo II, Sala 151-B";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/525290";"CPIFUNAI";"CPI - ATUAÇÃO DA FUNAI";"Comissão Parlamentar de Inquérito destinada a investigar a atuação da Fundacão Nacional do Índio - FUNAI.";"CPI - ATUAÇÃO DA FUNAI";"4";"Comissão Parlamentar de Inquérito";"1999-03-15T00:00:00";"1999-05-25T00:00:00";"2000-02-16T00:00:00";"";"";"";"Câmara dos Deputados";"Serv. de CPI, Anexo II, Sala 151-B";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/525293";"CETRANSI";"APLICAÇÃO DA LEI QUE INSTITUI O CÓDIGO DE TRANSITO";"Comissão Especial destinada a acompanhar a aplicação da Lei nº 9503, de 1997, que ""institui o Código de Trânsito Brasileiro"".";"Comissão Especial sobre Aplicação da Lei que Institui o Código de Trânsito";"3";"Comissão Especial";"1999-03-15T00:00:00";"1999-06-22T00:00:00";"2003-01-31T00:00:00";"";"";"";"Câmara dos Deputados";"Serv. Comissões Especiais, Anexo II, Sala 165-B";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/525296";"PEC17595";"PEC 175/95 - REFORMA TRIBUTÁRIA";"Comissão Especial destinada a apreciar e proferir parecer à Proposta de Emenda à Constituição nº 175, de 1995, que ""altera o Capítulo do Sistema Tributário Nacional"". (Reforma Tributária)";"COMISSÃO ESPECIAL - PEC 175/95 - REFORMA TRIBUTÁRIA";"3";"Comissão Especial";"1999-03-15T00:00:00";"1999-03-23T00:00:00";"2003-01-31T00:00:00";"";"";"";"Câmara dos Deputados";"Serviço de Com. Especiais, Anexo II, Sala 165-B";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/525304";"CPIALIME";"CPI - DESPERDICIO DE ALIMENTOS GOV. ANTERIORES FHC";"Comissão Parlamentar de Inquérito destinada a apurar o desperdício de alimentos no período dos governos imediatamente anteriores ao Presidente Fernando Henrique Cardoso, quanto ao armazenamento, rodízio de estoques, transporte, movimentação e conservação dos alimentos estocados.";"CPI - DESPERDICIO DE ALIMENTOS GOV. ANTERIORES FHC";"4";"Comissão Parlamentar de Inquérito";"1999-03-17T00:00:00";"1999-06-08T00:00:00";"2000-02-15T00:00:00";"";"";"";"Câmara dos Deputados";"Serv. Comissões Especiais, Anexo II";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/525305";"CPITORMB";"CPI - ARRECADAÇÃO DA TORMB/BORRACHA - IBAMA";"Comissão Parlamentar de Inquérito com a finalidade de investigar a arrecadação e destinação da verba da Taxa de Organização e Regulamentação do Mercado de Borracha - TORMB - no que se refere a atuação do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA.";"CPI - ARRECADAÇÃO DA TORMB/BORRACHA - IBAMA";"4";"Comissão Parlamentar de Inquérito";"1999-03-17T00:00:00";"1999-06-09T00:00:00";"1999-12-14T00:00:00";"";"";"";"Câmara dos Deputados";"Serviço de CPI,  Anexo II,  Sala 151-B";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/525313";"PLP00999";"PLP 9/99 - NORMAS GERAIS - PREVID. COMPLEMENTAR";"Comissão Especial destinada a analisar o Projeto de Lei Complementar nº 09, de 1999, que ""dispõe sobre as normas gerais para a instituição de regime de previdência complementar pela União, pelos Estados, pelo Distrito Federal e pelos Municípios"".";"COMISSÃO ESPECIAL - PLP 9/99 - NORMAS GERAIS - PREVID. COMPLEMENTAR";"3";"Comissão Especial";"1999-03-16T00:00:00";"1999-05-12T00:00:00";"2003-01-31T00:00:00";"";"";"";"Câmara dos Deputados";"Serv. de Comissões Especiais, Anexo II, s/169-B";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/525315";"PEC02095";"PEC 020/95 - ESTABELECE O PARLAMENTARISMO";"Comissão Especial destinada a apreciar e proferir parecer à Proposta de Emenda à Constituição nº 20, de 1995, que ""estabelece o Parlamentarismo"".";"COMISSÃO ESPECIAL - PEC 020/95 - ESTABELECE O PARLAMENTARISMO";"3";"Comissão Especial";"1999-04-06T00:00:00";"1999-06-17T00:00:00";"2003-01-31T00:00:00";"";"";"";"Câmara dos Deputados";"Serv. Comissões Especiais, Anexo II";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/525320";"PL437693";"PL 4376/93 - FALÊNCIA E CONCORDATA";"Comissão Especial destinada a apreciar e proferir parecer ao Projeto de Lei nº 4.376, de 1993, do Poder Executivo, que ""Regula a falência, a concordata preventiva e a recuperação das empresas que exercem atividade econômica regida pelas leis comerciais, e dá outras providências"".";"COMISSÃO ESPECIAL - PL 4376/93 - FALÊNCIA E CONCORDATA";"3";"Comissão Especial";"1999-04-22T00:00:00";"1999-06-25T00:00:00";"2003-01-31T00:00:00";"";"";"";"Câmara dos Deputados";"Serv. Comissões Especiais, Anexo II, Sala 165-B";""
